Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,4,40.0,-2.7
Query 2,6,60.0,-1.5428571428571427
Query 3,1,10.0,0
Query 4,2,20.0,-7.0
Query 5,4,40.0,-4.0
Query 6,1,10.0,0
Query 7,2,20.0,-1.0
Query 8,1,10.0,0
Query 9,4,40.0,-3.7
Query 10,0,0.0,0
Query 11,4,40.0,-8.5
Query 12,2,20.0,-16.0
Query 13,1,10.0,0
Query 14,3,30.0,-17.0
Query 15,2,20.0,-52.0
Query 16,8,80.0,-0.6666666666666667
Query 17,4,40.0,-7.199999999999999
Query 18,1,10.0,0
Query 19,4,40.0,-12.1
Query 20,3,30.0,-15.25
Query 21,3,30.0,-9.25
Query 22,2,20.0,-9.0
Query 23,3,30.0,-10.0
Query 24,7,70.0,-1.4285714285714284
Query 25,3,30.0,-25.5
Query 26,2,20.0,-9.0
Query 27,5,50.0,-1.75
Query 28,3,30.0,-3.75
Query 29,2,20.0,-9.0
Query 30,1,10.0,0
Query 31,4,40.0,-7.699999999999999
Query 32,6,60.0,-4.3428571428571425
Query 33,2,20.0,-12.0
Query 34,5,50.0,-5.4
Query 35,0,0.0,0
Query 36,1,10.0,0
Query 37,2,20.0,-63.0
Query 38,1,10.0,0
Query 39,5,50.0,-3.95
Query 40,4,40.0,-4.2
Query 41,6,60.0,-1.4285714285714284
Query 42,4,40.0,-9.2
Query 43,2,20.0,-44.0
Query 44,4,40.0,-2.9
Query 45,4,40.0,-0.5
Query 46,5,50.0,-5.15
Query 47,4,40.0,-7.199999999999999
Query 48,7,70.0,-1.1607142857142856
Query 49,5,50.0,-2.45
Query 50,4,40.0,-17.3
Query 51,2,20.0,-88.0
Query 52,4,40.0,-4.5
Query 53,7,70.0,-0.03571428571428581
Query 54,5,50.0,-1.75
Query 55,3,30.0,-12.25
Query 56,5,50.0,-2.35
Query 57,4,40.0,-9.2
Query 58,2,20.0,-40.0
Query 59,2,20.0,-4.0
Query 60,1,10.0,0
Query 61,3,30.0,-1.5
Query 62,5,50.0,-4.95
Query 63,6,60.0,-0.48571428571428577
Query 64,5,50.0,-1.0
Query 65,5,50.0,-2.95
Query 66,3,30.0,-21.5
Query 67,5,50.0,-1.4500000000000002
Query 68,4,40.0,-3.2
Query 69,3,30.0,-7.25
Query 70,3,30.0,-0.5
Query 71,5,50.0,-3.0999999999999996
Query 72,0,0.0,0
Query 73,0,0.0,0
Query 74,3,30.0,-8.0
Query 75,4,40.0,-8.1
Query 76,7,70.0,-2.7142857142857144
Query 77,5,50.0,-4.45
Query 78,1,10.0,0
Query 79,4,40.0,-13.7
Query 80,6,60.0,-2.8857142857142857
Query 81,3,30.0,-1.5
Query 82,2,20.0,-60.0
Query 83,3,30.0,-21.75
Query 84,2,20.0,-51.0
Query 85,1,10.0,0
Query 86,3,30.0,-1.0
Query 87,1,10.0,1
Query 88,2,20.0,-4.0
Query 89,4,40.0,-2.6
Query 90,4,40.0,-5.7
Query 91,1,10.0,0
Query 92,3,30.0,-28.25
Query 93,4,40.0,-15.2
Query 94,5,50.0,-3.2
Query 95,4,40.0,-4.5
Query 96,2,20.0,-52.0
Query 97,3,30.0,-11.25
Query 98,2,20.0,-105.0
Query 99,3,30.0,-16.5
Query 100,2,20.0,-24.0
Averages,3.29,32.9,-10.75491666666667
